title,author,position,fileName,link,description,date
Empowering AgTech Advancements and Insights at the Fall Harvest Roundtable,Alli Sweigard,VISTA F3 Communications Coordinator,Harvest_Roundtable.jpg,,"Over 35 people attended "Fall Harvest" roundtables on Monday, Oct. 30, 2023, at Harris Ranch in Coalinga, CA to explore the purpose of F3 Innovate and devise actions to enhance agricultural technology (AgTech) programs in the Central Valley. F3 partners and representative, as well as local farmers, farm workers and ag educators were among attendees. This event hosted esteemed speakers and industry experts, shedding light on the importance of providing AgTech opportunities and education in the region.  During the F3 Update roundtable discussion, Dr. Leigh Bernacchi, Executive Director of F3 Innovate at the University of California, Merced, emphasized the significance of this funding and the transformative impact it is having on higher education delivering for the agricultural sector. The F3 Update panel included Karen Aceves, Regional Director of F3 AgTEC Initiative & CEO ARKEN Strategies, Cesar Lucio, CVCF/FC Regional Economic Competitiveness Officer, and Helle Peterson, UC ANR Regional Director. Gabe Youtsey, Chief Innovation Officer at UC ANR was the moderator for the panel. Originally established with a different purpose, UC Merced has now become deeply invested in agricultural research, with over 60 faculty members actively engaged in this field. The university's unique location and the enthusiasm of its students and faculty have attracted interest from other big institutions seeking collaboration.  Dr. Bernacchi said, “F3 Innovate is the engine of research and development that will lead to rewarding jobs and careers in agtech in this region.” A primary objective discussed during the event was to encourage students to consider careers in agtech companies rather than solely focusing on big advertising tech corporations. The aim is to cultivate a skilled technical workforce and entice students to come to the valley to learn, remain in the valley, and contribute to its growth by providing employment opportunities. “Your future is not at Facebook. Your future is in farming,” Dr. Bernacchi said.  “The roundtable was an opportunity to convene leadership representatives from the multiple partners involved in F3 and collectively provide a meaningful update to community college faculty members from around the region and several industry leaders and employers,” Lucio said. “The incredible work and collaboration derived from this partnership is the perfect example of what happens when leaders from different sectors commit to create a strong ecosystem that fosters economic growth. The second roundtable, titled "Voices from the Fields," centered around gathering insights from professionals who work directly with field workers. Cesar Guillen, Manager of HMC Farms, emphasized the importance of effectively communicating the benefits of these new products to individuals who have spent years or even their entire lives working in the fields. Overcoming resistance to change and fostering acceptance of new technologies among experienced workers is crucial for the industry's progress.  The "Fall Harvest" roundtables provided a platform for collaboration, knowledge sharing, and innovation in the AgTech sector. By leveraging the expertise of academic institutions like UC Merced and the insights of field workers and farmers, the event aimed to drive the adoption of cutting-edge technologies in agriculture while addressing the concerns of those directly involved in the field. With a focus on building a skilled workforce and showcasing the value of AgTech to the community, the event laid the foundation for a prosperous future of AgTech in the Central Valley.",10/10/23
"UC Merced's Dr. Josh Viers Champions Equity-Focused Action at Higher Ed Listening Session",Alli Sweigard, VISTA F3 Communications Coordinator,listening_session.jpg,,"In the dynamic landscape of higher education's fight against climate change, Dr. Joshua Viers, Director of VISTA at the University of California, Merced, unveiled initiatives during the Higher Ed Climate Action Task Force Listening Session on Nov. 2, 2023. This virtual gathering was an exploration into the pivotal role played by Minority-Serving Institutions (MSIs) and community partnerships in the climate change battleground.  The session is available through a recording on YouTube, ensuring that the valuable insights and initiatives discussed can reach a broader audience interested in addressing climate change through education and community engagement. Listen here: Higher Ed Listening Session V - This Is Planet Ed [https://www.thisisplaneted.org/blog/higher-ed-listening-session-v] At the forefront of this environmental crusade, UC Merced, recognized as a Hispanic-serving institute (HSI), is carving a unique path to drive equity-focused climate action. The university has developed unique programs designed to serve the 65% who are first generation college students and 58.5% who are Pell Grant eligible. CITRIS through the NexTech Robotics and FLY drones' education programs. When asked about the policies, practices, and academic programs that UC Merced has implemented to foster sustainability and inclusivity, Dr. Viers emphasized the significance of access.  "First and foremost, access becomes important," he said, “At UC Merced, given that most of our region is underserved and undereducated, how do we improve access to education?” Dr. Viers elaborated on the importance of creating pathways for engaging young students, especially girls in STEM fields, emphasizing the need for tailored programs. One of UC Merced's noteworthy initiatives are Human-Centered Research and Design and Engineering Service Learning, which is open to first through fifth-year students from any major. These programs focus on community projects, fostering a strong sense of civic responsibility among students and connecting the university with the local community. Another highlight of Dr. Viers' presentation was the UC Merced Experimental Smart Farm, spanning 40 acres. This unique project serves as an experimental hub for sustainable agriculture, allowing the university to engage the local community in environmental practices. In line with their commitment to creating opportunities for all students, Dr. Viers discussed providing stipends and full employment to students who participate in various programs. These initiatives include developing mobile apps with a social purpose or creating innovative solutions for community issues.  “I’m happy to say that my team in particular, we hire 15 to 20 students every year, to pursue the different programs,” Dr. Viers said, “For a lot of our students that are in financial need, being able to remove a barrier for them goes a long way.”  These programs offer a gateway to engage in meaningful projects and contribute to their community. Dr. Viers' insights were part of a broader discussion that included distinguished speakers such as, Dr. Robert Bullard, professor of urban planning and environmental policy and founding director of the Bullard Center for Environmental and Climate Justice at Texas Southern University, Dr. Ruth Plenty Sweetgrass-She Kills, Food Sovereignty Director at Nueta Hidatsa Sahnish College, and Anastasia Rodriguez, Vice President for Administration and Finance at the University of Maryland Eastern Shore. The panel was facilitated by Dr. Kim Hunter Reed, Commissioner of Higher Education for Louisiana and Chancellor of the California State University system, Dr. Mildred García. The dialogue revolved around how institutions can leverage their unique positions to lead the transition towards a clean economy and a sustainable society. “Our university president is very vocal about our sustainability measures and making sure that we’re meeting and we’re thinking about climate change and the effect of our footprint on campus,” said Rodriguez. “We’re trying to create internships and workforce opportunities for those students to be involved in those projects.”  This conversation highlighted the critical role of collaboration between educational institutions and their communities in promoting inclusive climate solutions. By addressing the disproportionate impacts of climate change on historically marginalized populations, these partnerships are making meaningful strides toward a more sustainable and equitable future. Dr. Viers' contributions demonstrate UC Merced's commitment to driving equity-focused action on climate and its dedication to making a positive impact in both education and the community. As higher education institutions continue to pioneer innovative approaches to combat climate change, it is clear that access, engagement, and sustainability are key pillars in this critical endeavor. "
"UC Merced student engagement: Innovation Harvest grows AI skills",Alli Sweigard, VISTA F3 Communications Coordinator,Future_Innovators_img.png,https://forms.office.com/r/TQAH73dPyv,"Agricultural innovation was the focus of an evening workshop on AI on Oct. 26 at the University of California, Merced Arts and Computational Sciences building. Hosted by VISTA F3 Innovate and Tesserakt Ventures the “Innovation Harvest” workshop hosted undergraduate-students and dove into the intriguing world of artificial intelligence in agriculture and explored applications of ChatGPT, an OpenAI platform. This workshop provided a hands-on learning experience for UC Merced students to gain knowledge about agriculture and tech careers. The next workshop is scheduled for November 16, at 5:30-7:30 p.m. in the Dr. Vikram & Priya Lakireddy Ballroom at UC Merced, where the focus will shift to database applications and rapid prototyping. Sign up here: https://forms.office.com/r/TQAH73dPyv Keynote speaker, Daniel Sabzehzar, from Tesserakt Ventures, is a UC Merced alum and local venture capital fund manager. He shared insights into how artificial intelligence can revolutionize farming practices and increase agricultural productivity, making it clear that the agricultural industry is ripe for technological disruption, with an emphasis on inclusive innovation. As students practiced agile development they played with the versatile tool of ChatGPT, known for its proficiency in natural language processing and generation. Sabzehzar guided the participants through the process of using ChatGPT to create code, unlocking new opportunities for innovation and problem-solving. They were tasked with creating codes and developing AI solutions that could benefit the agricultural industry. As the room buzzed with creative energy, students collaborated, to craft innovative solutions and took turns presenting those ideas to the other attendees. Michael Tapia, fourth year computer science major at UC Merced said, “I never realized how easy it is to get a working product using AI.” He noted how interesting it was to see the different projects students were able to create in such a short amount of time.  At the start of the workshop, students were asked to describe the biggest problems with our food system in three words; waste, disease, unsustainable, global warming and low quality were popular answers among attendees. This helped start the conversation of agriculture and the need for technological advances in the industry, such as the farm ng Amiga Robot. Sabzehzar introduced students to the Amiga robot and encouraged them to participate in the 2024 Farm Robot Challenge to help create new applications for this micro-tractor. The Amiga was created to help growers to easily create farming solutions and reduce manual labor.  If you’d like to join a FarmBot Challenge team, contact vista@ucmerced.edu Sabzehzar underlined the importance of innovation in his address to the students. He stressed that the world of AI and agriculture was ever-evolving, with endless possibilities waiting to be discovered. He encouraged the students to use their newfound knowledge and skills to dream, create, and apply their ideas, remarking, "You get to invent stuff that doesn't yet exist." Lucia Barboza, third year computer science and engineering major at UC Merced said, “Innovation Harvest introduced me to the world of AgTech. It was inspiring to see participants use ChatGPT to develop web apps that address local farming challenges.” The Valley Institute for Sustainability, Technology, and Agriculture, known as VISTA, is at the forefront of addressing critical environmental and societal challenges. Among VISTA’s initiatives is the Farms-Food-Future Innovation Initiative, aimed at finding innovative solutions to pressing issues. The Fresno-Merced Future of Food Innovation (F3) Coalition secured a record breaking $65.1 million federal grant, the largest ever in California’s Central Valley. This funding is set to propel research and climate-smart food system solutions. The hub’s mission is to unite farms with industry and communities, fostering productivity, job creation, and regional sustainability for the benefit of local communities.",11/08/2023
Future innovators and entrepreneurs at UC Merced attend seminar on patent creation,Alli Sweigard,VISTA F3 Communications Coordinator,Futureinnovators.jpg,,"Over 20 students gathered to hear Vineet Kohli, Legal Counsel and Director of Intellectual Property at BlueNalu, provide valuable insight on patentability considerations. The seminar, "Is your research the big catch?," was organized by the university's Office of Technology, Innovation, and Industry Relations, and aimed to equip current and future innovators with industry expertise on patent creation.Kohli emphasized the significance of novelty as a crucial factor when drafting a patent, highlighting that a lack of novelty can result in the rejection of a patent application. He also introduced key phrases commonly used in the patent process, such as "unexpected results," "teaching away," and "failure of others." Notably, Kohli mentioned that anyone who can become a patent agent does not require you to graduate from a law school and encouraged students to look into this career path.","YYYY-MM-DD"
"Appointment of Dr. Joshua Viers",Alli Sweigard,VISTA F3 Communications Coordinator,"Joshua_Viers.jpg","","Dr. Joshua Viers has been appointed as the Associate Vice Chancellor for Interdisciplinary Research and Strategic Initiatives in the ORED. He will support the Vice Chancellor for Research, Innovation and Economic Development and will also be the new Director of VISTA. Dr. Viers has made numerous contributions to UC Merced, including expanding cross-campus research collaboration, advocating for UC Merced's designation as an Agricultural Experiment Station, launching the Experimental Smart Farm, serving on multiple advisory boards and councils, and increasing research funding. He has published extensively on various topics and has dedicated almost 29 years to the University of California.","YYYY-MM-DD"
UC Merced Invests in the Next Generation of Ag-Tech Leadership,Leigh Bernacchi, VISTA F3 Executive Director,UCM_Invests_04_19_23.jpg,https://news.ucmerced.edu/news/2023/uc-merced-invests-next-generation-ag-tech-leadership,"The UC Merced Farms Food Future initiative has invested $850,000 to fund 10 graduate researchers who will work on climate-smart agriculture for the campus. The initiative, which is funded by the US Economic Development Administration's Build Back Better Regional Challenge grant, aims to jump-start the agritech revolution in the San Joaquin Valley. The graduate students will work on various proposals, such as irrigation, digital twins, inclusive innovation, and regenerative agriculture, to tackle climate and community challenges.",4/19/23
Ingredients to Transform Economy,Charles Radke,Author of Fresno State News,Ingredients_Economy_03-01_23.jpg,https://www.fresnostatenews.com/2023/03/01/ingredients-to-transform-the-economy/,"The Fresno-Merced Future of Food Innovation Coalition (F3) has been awarded $65.1 million in federal funding under the Build Back Better Regional Challenge to transform the economy of California's Central Valley. F3 aims to rebuild the regional economy, promote inclusive and equitable recovery, and create good-paying jobs in industries of the future. The flagship project is the Innovation Center for Research and Entrepreneurship in Ag Food Technology and Engineering, where Fresno State will focus its resources, integrating the Central Valley's ag and food manufacturing resources and commercializing climate-smart food and agricultural technology.",3/1/23
Federal funding to help agricultural innovation in Central Valley,Vanessa Vasconcelos,Action News Anchor for ABC30,tomatoes.jpg,https://abc30.com/federal-funding-central-california-agriculture-bank-of-italy-downtown-fresno-ag-workers/12329590/,"The Fresno-Merced Future of Food Innovation F3 coalition and the Fresno County Economic Development Corporation have been awarded $88 million in federal funding to enhance economic development and agriculture in the Central Valley. The iCreate ag-tech hub will be located in one of the oldest buildings in downtown Fresno, and will house research and partnerships with universities and community colleges. The goal is to create 2,500 new jobs in fields such as business services, construction, manufacturing and transportation within the next three years.",10/22/22
Fresno State Tour Touts Benefits for Farms,Charles Radke,Author of Fresno State News,Fresno_State_Tour_4_26_23.jpg,https://www.agalert.com/california-ag-news/archives/april-26-2023/fresno-state-tour-touts-benefits-for-farms/,"California State University, Fresno's agricultural education programs and research advancements have played a crucial role in supporting the state's farming sector. The university has contributed to increased efficiency in agriculture, while its partnership with other institutions in the F3 Innovate collaboration focuses on agricultural technology, irrigation technologies, and smart manufacturing.",4/26/23
"Lyles College of Engineering attends the F3 Innovate Showcase at UC Merced",Lyles College of Engineering,,f3Showcase.jpg,https://www.facebook.com/fresnostatelcoe/posts/1034584397860334,"Deans, faculty, students and staff from the Lyles College of Engineering, Jordan College of Agricultural Sciences and Technology, College of Science and Math and Craig School of Business attended the F3 Innovate Showcase at UC Merced today. ⚙️🌾 F3 Innovative is the nation’s hub for climate-smart agrifood technology and engineering. The showcase is the first gathering of F3 Innovative researchers from Fresno State, UCANR and UC Merced to share their findings, to identify best practices and to build relationships for research.",9/1/23
